Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
Acoustical Document,Parts,290,0,(Role VIEWER F) GetFile Acoustical Document,(Role VIEWER F) GetFile Acoustical Document,,(Role VIEWER K 3D1) GetFile Acoustical Document,Type O Role
,,,,(Role VIEWER D) GetFile Acoustical Document,(Role VIEWER D) GetFile Acoustical Document,,Create-Acoustical Document,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER H) GetFile Acoustical Document,(Role VIEWER H) GetFile Acoustical Document,,(Role VIEWER D) GetFile Acoustical Document,Role VIEWER E
,,,,All Parts-Acoustical Document (Subclass Access),All Parts-Acoustical Document (Subclass Access),,Checkin-Acoustical Document,Create All Items (Subclass Level)
,,,,(Role VIEWER E) GetFile Acoustical Document,(Role VIEWER E) GetFile Acoustical Document,,(Role VIEWER E) GetFile Acoustical Document,Role DELL LEGAL
,,,,(Role VIEWER G) GetFile Acoustical Document,(Role VIEWER G) GetFile Acoustical Document,,(Role DOC CREATOR ACOUSTICAL) Create Acoustical Doc,Role VIEWER I
,,,,(Role VIEWER K 3D1) GetFile Acoustical Document,(Role VIEWER K 3D1) GetFile Acoustical Document,,(Role VIEWER I) GetFile Acoustical Document,Openmanage Viewer
,,,,(Role VIEWER I) GetFile Acoustical Document,(Role VIEWER I) GetFile Acoustical Document,,(Role DOC CREATOR ACOUSTICAL) GetFile Acoustical Doc,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER B) GetFile Acoustical Document,(Role VIEWER B) GetFile Acoustical Document,,(Role DOC CREATOR ACOUSTICAL) Send Acoustical Doc,Role MOD PARTS P1 & P2 PROJ PLNR NON PRODUCTION
,,,,(Role VIEWER J 3B) GetFile Acoustical Document,(Role VIEWER J 3B) GetFile Acoustical Document,,(Role DOC CREATOR ACOUSTICAL) Discover Acoustical Doc,Role Check In Check Out
,,,,For Acoustical Document Only,For Acoustical Document Only,,(Role DOC CREATOR ACOUSTICAL) PrintFile Acoustical Doc,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER C) GetFile Acoustical Document,(Role VIEWER C) GetFile Acoustical Document,,(Role DOC CREATOR ACOUSTICAL) ViewFile Acoustical Doc,Role CREATOR
,,,,,,,(Role DOC CREATOR ACOUSTICAL) Read Acoustical Doc,Role DOC CREATOR ACOUSTICAL
,,,,,,,(Role DOC CREATOR ACOUSTICAL) PrintTab Acoustical Doc,Role VIEWER F
,,,,,,,(Role DOC CREATOR ACOUSTICAL) SaveAs Acoustical Doc,Role VIEWER J 3B
,,,,,,,(Role DOC CREATOR ACOUSTICAL) Mod Acoustical Doc,Role DOC CREATOR ENV AFFAIRS
,,,,,,,(Role DOC CREATOR ENV AFFAIRS) Create Environmental Doc,Role VIEWER H
,,,,,,,(Role VIEWER F) GetFile Acoustical Document,Role VIEWER C
,,,,,,,Upgrade Supplier Access - Modify Acoustical Document,Role PGDS ANALYST
,,,,,,,Modify Attachments-Acoustical Document,Role WWP APCC CREATOR
,,,,,,,(Role VIEWER J 3B) GetFile Acoustical Document,Role VIEWER G
,,,,,,,(Role VIEWER H) GetFile Acoustical Document,Type D Role
,,,,,,,(Role VIEWER C) GetFile Acoustical Document,Role VIEWER K 3D1
,,,,,,,(Role VIEWER G) GetFile Acoustical Document,Role VIEWER B
,,,,,,,(Role VIEWER B) GetFile Acoustical Document,Role CREATOR CHANGES-NON PRODUCTION PARTS
,,,,,,,,Role VIEWER D
"Adapter,AC",Parts,1808,0,"All Parts-Adapter,AC (Subclass Access)","All Parts-Adapter,AC (Subclass Access)",,"(Role VIEWER B) GetFile Adapter,AC",Type O Role
,,,,"For Adapter,AC Only - Exclude SBOM","For Adapter,AC Only - Exclude SBOM",,"(Role VIEWER K 3D1) GetFile Adapter,AC",Role VIEWER E
,,,,"(Role VIEWER B) GetFile Adapter,AC","(Role VIEWER B) GetFile Adapter,AC",,"Checkout-Adapter,AC","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER J 3B) GetFile Adapter,AC","(Role VIEWER J 3B) GetFile Adapter,AC",,"(Role VIEWER D) GetFile Adapter,AC",Create All Items (Subclass Level)
,,,,"(Role VIEWER I) GetFile Adapter,AC","(Role VIEWER I) GetFile Adapter,AC",,"(Role VIEWER F) GetFile Adapter,AC",Role DELL LEGAL
,,,,"(Role VIEWER G) GetFile Adapter,AC","(Role VIEWER G) GetFile Adapter,AC",,"Checkin-Adapter,AC",Role DOCUMENT SUBMITTER
,,,,"(Role VIEWER E) GetFile Adapter,AC","(Role VIEWER E) GetFile Adapter,AC",,"(Role READ/DISCOVER P3) Discover P3 Adapter,AC",Role VIEWER I
,,,,"(Role VIEWER K 3D1) GetFile Adapter,AC","(Role VIEWER K 3D1) GetFile Adapter,AC",,"(Role VIEWER J 3B) GetFile Adapter,AC",Openmanage Viewer
,,,,"(Role VIEWER D) GetFile Adapter,AC","(Role VIEWER D) GetFile Adapter,AC",,"(Role MOD PARTS P3 CMA'S) Mod P3 Adapter,AC",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"(Role VIEWER H) GetFile Adapter,AC","(Role VIEWER H) GetFile Adapter,AC",,"Modify Attachments-Adapter,AC",Role Check In Check Out
,,,,"For Adapter,AC Only","For Adapter,AC Only",,"(Role VIEWER H) GetFile Adapter,AC","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Adapter,AC","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Adapter,AC",,"(Role READ/DISCOVER P3) Read P3 Adapter,AC",Role VIEWER F
,,,,"(Role VIEWER C) GetFile Adapter,AC","(Role VIEWER C) GetFile Adapter,AC",,"Upgrade Supplier Access - Modify Adapter, AC",Role CREATOR
,,,,"(Role VIEWER F) GetFile Adapter,AC","(Role VIEWER F) GetFile Adapter,AC",,"(Role VIEWER C) GetFile Adapter,AC",Role READ/DISCOVER P3
,,,,,,,"(Role VIEWER E) GetFile Adapter,AC",Modify Devices
,,,,,,,"Create-Adapter,AC",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER G) GetFile Adapter,AC",Role VIEWER J 3B
,,,,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Adapter,AC",Role VIEWER H
,,,,,,,"(Role VIEWER I) GetFile Adapter,AC",Role VIEWER C
,,,,,,,,Role PGDS ANALYST
